Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.776,50.761,50.746,50.73,50.715,50.7,50.685,50.67,50.654,50.639,50.624,50.609,50.593,50.578,50.563,50.548,50.532,50.517,50.502,50.487,50.472,50.456,50.441,50.426,50.411,50.395,50.38,50.365,50.35,50.335,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866
Aruba,ABW,Urban population,SP.URB.TOTL,27728,28330,28764,29157,29505,29802,30052,30160,30124,30044,29922,29766,29777,30026,30352,30690,30922,31050,31179,31305,31427,31593,31836,32113,32351,32494,32522,32460,32391,32514,33066,34138,35095,35882,36740,37575,38403,39248,40099,40938,41625,42025,42194,42277,42317,42399,42555,42729,42906,43079,43206,43493,43864,44228,44588,44943,45297,45648,45999,46351,46574,46734
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,,2.147858087,1.52032914,1.357041595,1.186471932,1.001576484,0.835370915,0.358732863,-0.11943469,-0.265922242,-0.406897803,-0.522719325,0.036948088,0.832738956,1.07987402,1.107445544,0.753103605,0.41309037,0.414598289,0.403303792,0.388956685,0.526818102,0.766214788,0.866320763,0.738399979,0.441052454,0.08613265,-0.190822132,-0.212795565,0.379015938,1.683479832,3.190556921,2.764753684,2.217710681,2.363030279,2.247285585,2.17966459,2.176490597,2.145090883,2.070733072,1.664222124,0.956373099,0.401335154,0.196517211,0.094569362,0.193588049,0.367257987,0.408048969,0.413382967,0.40239631,0.29437351,0.662063111,0.84939325,0.826413458,0.810669185,0.793025568,0.784578493,0.771898934,0.765986265,0.762320963,0.479957876,0.342950565
Aruba,ABW,"Population, total",SP.POP.TOTL,54608,55811,56682,57475,58178,58782,59291,59522,59471,59330,59106,58816,58855,59365,60028,60715,61193,61465,61738,62006,62267,62614,63116,63683,64174,64478,64553,64450,64332,64596,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537
Aruba,ABW,Population growth (annual %),SP.POP.GROW,,2.179059041,1.548571744,1.389337063,1.215720575,1.032840919,0.862183824,0.388846828,-0.085719333,-0.237371851,-0.378263817,-0.491851537,0.066286513,0.862803525,1.110629292,1.137966447,0.784201939,0.443510323,0.443171752,0.433152992,0.420043588,0.555730484,0.79854079,0.894334781,0.768049326,0.47259361,0.116251147,-0.159686243,-0.183255475,0.409531473,1.712906785,3.222414529,3.372864192,3.04193161,3.196029146,3.084060978,3.025788936,3.027358768,3.004804525,2.934412926,2.539234444,1.768756621,1.194718055,0.997395547,0.90098923,1.003077184,1.181565546,1.227710815,1.241397377,1.233231321,1.13154104,0.93935591,0.810230588,0.749301039,0.69161526,0.637959162,0.590062487,0.537295706,0.494795263,0.451969659,0.134255302,-0.045044623
Aruba,ABW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6191177,97.14286041,94.40406799,94.75524139,90.21591949,90.55989838,88.19796753,93.18611908,95.58824158,95.13303375,96.2425766,94.78610229,,,96.57064056,101.1805573,,,,,,,
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011919975,0.992659986,0.999490023,0.989000022,0.97706002,0.952910006,0.963389993,0.967980027,0.98676002,1.005609989,1.00443995,1.014600039,1.008710027,1.021559954,,,,,,,,,
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505922166,0.48582996,0.429978118,0.407916806,0.383268482,0.0186102,0.018615611,0.018052392,0.018010385,0.017566898,0.017329545,0.017507351,0.017838515,0.016997445,0.019908116,0.020491803,0.020393901,0.021469771,0.017816916,0.014811849,0.012518854,0.018610747,0.023920506,0.030268667,,,
